userId,session,start,end,readWords,unknownWords,wpm,hours
8CArk4ZlWo3dfxGPebtA,0,1569730596,1569730768,479,4,343.57595280650213,0.03902777777777778
A4arcbjZqnDXTFHU8zfv,0,1570315113,1570315242,297,1,525.4797441364606,0.010944444444444444
AWJ3AzY0AdAUKDqerSwH,0,1569371789,1569372631,398,14,470.80459098341254,0.043388888888888894
AWJ3AzY0AdAUKDqerSwH,1,1569720624,1569720834,384,0,299.47378517821016,0.030611111111111106
AWJ3AzY0AdAUKDqerSwH,2,1570836271,1570836596,921,16,182.5113986038844,0.09861111111111111
AWJ3AzY0AdAUKDqerSwH,3,1571266008,1571267407,3037,63,279.5504861723364,0.31472222222222224
AWJ3AzY0AdAUKDqerSwH,4,1571438190,1571439289,978,12,266.7590469611427,0.36783333333333335
AWJ3AzY0AdAUKDqerSwH,5,1571861801,1571863065,2180,22,235.0308631540176,0.26691666666666664
AWJ3AzY0AdAUKDqerSwH,6,1572736219,1572738380,3308,23,275.2319194074942,0.335
CvfwJERcCjcXtzFo8Xfe,0,1569456673,1569456673,158,2,592.5,0.0044444444444444444
CvfwJERcCjcXtzFo8Xfe,1,1569806343,1569806343,191,1,222.09302325581396,0.014333333333333333
EqRLudnaHSRDLcSvh2aB,0,1569632067,1569632984,188,1,12.621907887272105,0.6683333333333333
EqRLudnaHSRDLcSvh2aB,1,1570070167,1570070174,467,0,624.5501656238498,0.013166666666666667
FWp4npFjtaREu4KnLdNq,0,1569349557,1569349557,107,1,972.7272727272729,0.0018333333333333333
FWp4npFjtaREu4KnLdNq,1,1570472073,1570472073,91,0,657.8313253012047,0.002305555555555556
FWp4npFjtaREu4KnLdNq,2,1571684512,1571684512,84,0,130.9090909090909,0.010694444444444444
GDQqFBeAkT3BM8LaUf4e,0,1570154428,1570154428,83,1,452.72727272727275,0.0030555555555555557
GDQqFBeAkT3BM8LaUf4e,1,1570234334,1570234334,92,0,221.6867469879518,0.0069166666666666664
GDQqFBeAkT3BM8LaUf4e,2,1570392586,1570396832,5358,109,120.89911524085579,1.557833333333333
GDQqFBeAkT3BM8LaUf4e,3,1572989458,1572997259,2915,50,147.8323144552411,0.8580555555555557
GDQqFBeAkT3BM8LaUf4e,4,1573521825,1573524160,3888,59,155.97251918076307,0.5099444444444445
GKJVv47Xyo0p9bAFglZG,0,1570132643,1570132643,76,0,991.3043478260871,0.0012777777777777776
GSVAo8JMbYdb7ZibHe7V,0,1570311005,1570322584,425,14,61.57742945565533,0.12611111111111112
Jj9P1sIqjLLF0wVqDFeX,0,1569283317,1569285873,2307,91,105.90007486063834,0.6868333333333331
Jj9P1sIqjLLF0wVqDFeX,1,1569368103,1569369771,1116,76,55.32072175432738,0.39683333333333337
Jj9P1sIqjLLF0wVqDFeX,2,1569801361,1569802012,764,45,88.41396544284626,0.20769444444444443
Jj9P1sIqjLLF0wVqDFeX,3,1570213842,1570214924,2162,60,225.3451569563185,0.24086111111111114
Jj9P1sIqjLLF0wVqDFeX,4,1570927927,1570928653,974,19,90.07118991098292,0.23780555555555558
Jj9P1sIqjLLF0wVqDFeX,5,1571533351,1571534941,1943,45,219.6343925526774,0.3803611111111111
Jj9P1sIqjLLF0wVqDFeX,6,1572113919,1572122121,1864,26,220.22502421581794,0.20830555555555558
Jj9P1sIqjLLF0wVqDFeX,7,1572390788,1572394416,1682,37,138.5150238958815,0.41824999999999996
Jj9P1sIqjLLF0wVqDFeX,8,1572482088,1572482088,112,0,809.6385542168674,0.002305555555555556
Jj9P1sIqjLLF0wVqDFeX,9,1572823286,1572824961,1808,33,134.74136916719925,0.3660555555555555
NGZvKdIVTwplLZmFdrUu,0,1568890386,1568891989,204,10,389.5905267122858,0.44447222222222227
NGZvKdIVTwplLZmFdrUu,1,1568967047,1568975054,244,3,178.72804811546015,0.8347500000000001
NGZvKdIVTwplLZmFdrUu,2,1569156341,1569156341,59,0,4.446119065561416,0.22116666666666668
NdlYszQsqy4y8pKYKj8N,0,1570226868,1570227257,522,22,436.8415575090745,0.06972222222222221
NdlYszQsqy4y8pKYKj8N,1,1570404567,1570410977,2937,100,115.99349449888932,1.4119444444444444
NdlYszQsqy4y8pKYKj8N,2,1570490284,1570490305,245,7,125.81767252355488,0.05647222222222222
OBnEu637ICb2nQUwn2J4,0,1570312785,1570326369,1565,28,366.1316278812567,0.1496111111111111
