word,pos,signal,userId,cheat,session,time,eltime,wpm,i
cousins,NNS,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571130,82.5,108.36363636363637,15
Schoolmaster,NN,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571130,82.5,108.36363636363637,15
Court,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571130,82.5,108.36363636363637,15
Outer,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571130,82.5,108.36363636363637,15
Court,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571130,82.5,108.36363636363637,15
Court,NNP,0.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571209,79.9,103.62953692115143,16
Outer,NNP,0.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571209,79.9,103.62953692115143,16
Court,NNP,0.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571209,79.9,103.62953692115143,16
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571209,79.9,103.62953692115143,16
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571209,79.9,103.62953692115143,16
Outer,NNP,0.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571209,79.9,103.62953692115143,16
Court,NNP,0.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571209,79.9,103.62953692115143,16
Outer,NNP,0.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571209,79.9,103.62953692115143,16
Court,NNP,0.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571209,79.9,103.62953692115143,16
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571209,79.9,103.62953692115143,16
Court,NNP,0.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571209,79.9,103.62953692115143,16
cousins,NNS,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571209,79.9,103.62953692115143,16
Court,NNP,0.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571209,79.9,103.62953692115143,16
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571290,80.8,137.3762376237624,17
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571290,80.8,137.3762376237624,17
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571290,80.8,137.3762376237624,17
cousins,VBZ,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571290,80.8,137.3762376237624,17
cousins,NNS,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571290,80.8,137.3762376237624,17
Court,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571290,80.8,137.3762376237624,17
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571290,80.8,137.3762376237624,17
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571290,80.8,137.3762376237624,17
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571290,80.8,137.3762376237624,17
ivory,NN,0.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571290,80.8,137.3762376237624,17
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571290,80.8,137.3762376237624,17
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571290,80.8,137.3762376237624,17
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571361,70.9,143.86459802538786,18
Court,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571361,70.9,143.86459802538786,18
irises,NNS,0.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571361,70.9,143.86459802538786,18
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571361,70.9,143.86459802538786,18
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571361,70.9,143.86459802538786,18
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571361,70.9,143.86459802538786,18
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571361,70.9,143.86459802538786,18
ivory,NN,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571361,70.9,143.86459802538786,18
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571361,70.9,143.86459802538786,18
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571438,77.0,144.93506493506493,19
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571438,77.0,144.93506493506493,19
ivory,NN,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571438,77.0,144.93506493506493,19
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571438,77.0,144.93506493506493,19
